# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 8.0.0
# Generated: 2015-05-17, 03:09:04 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Arabic; Armenian: [ه٥ھہە۵ۿ]; [օ]

0647          ; Arab; Armn; L #      (ه)  ARABIC LETTER HEH
1036          ; Mymr; Khmr; L #      (ံ)  MYANMAR SIGN ANUSVARA

# Total code points: 1

# Myanmar; Lao: [ဝံ၀]; [ໍ໐]

101D          ; Mymr; Laoo; L #      (ဝ)  MYANMAR LETTER WA
1036          ; Mymr; Laoo; L #      (ံ)  MYANMAR SIGN ANUSVARA
1040          ; Mymr; Laoo; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Latin: [ဝ၀]; [oøơ]

101D          ; Mymr; Latn; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Latn; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Malayalam: [ဝး၀]; [ംഃ൦]

101D          ; Mymr; Mlym; L #      (ဝ)  MYANMAR LETTER WA
1038          ; Mymr; Mlym; L #      (း)  MYANMAR SIGN VISARGA
1040          ; Mymr; Mlym; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Sinhala: [ဝး၀]; [ංඃ]

101D          ; Mymr; Sinh; L #      (ဝ)  MYANMAR LETTER WA
1038          ; Mymr; Sinh; L #      (း)  MYANMAR SIGN VISARGA
1040          ; Mymr; Sinh; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Tamil: [ဝံ၀]; [ஂ௦]

101D          ; Mymr; Taml; L #      (ဝ)  MYANMAR LETTER WA
1036          ; Mymr; Taml; L #      (ံ)  MYANMAR SIGN ANUSVARA
1040          ; Mymr; Taml; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Telugu: [ဝး၀]; [ంః౦]

101D          ; Mymr; Telu; L #      (ဝ)  MYANMAR LETTER WA
1038          ; Mymr; Telu; L #      (း)  MYANMAR SIGN VISARGA
1040          ; Mymr; Telu; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Thai: [ဝံ၀]; [ํ๐]

101D          ; Mymr; Thai; L #      (ဝ)  MYANMAR LETTER WA
1036          ; Mymr; Thai; L #      (ံ)  MYANMAR SIGN ANUSVARA
1040          ; Mymr; Thai; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Oriya; Bengali: [ଁଃଠ଼୦୨]; [ঁ়০৪৭]

0B01          ; Orya; Beng; L #      (ଁ)  ORIYA SIGN CANDRABINDU
0B03          ; Orya; Beng; L #      (ଃ)  ORIYA SIGN VISARGA
0B20          ; Orya; Beng; L #      (ଠ)  ORIYA LETTER TTHA
0B3C          ; Orya; Beng; L #      (଼)  ORIYA SIGN NUKTA
0B66          ; Orya; Beng; L #      (୦)  ORIYA DIGIT ZERO
0B68          ; Orya; Beng; L #      (୨)  ORIYA DIGIT TWO

# Total code points: 6

# Oriya; Devanagari: [ଁ଼]; [ँ़]

0B01          ; Orya; Deva; L #      (ଁ)  ORIYA SIGN CANDRABINDU
0B3C          ; Orya; Deva; L #      (଼)  ORIYA SIGN NUKTA

# Total code points: 2

# Oriya; Greek: [ଠ୦]; [θ]

0B20          ; Orya; Grek; L #      (ଠ)  ORIYA LETTER TTHA
0B66          ; Orya; Grek; L #      (୦)  ORIYA DIGIT ZERO

# Total code points: 2

# Oriya; Gujarati: [ଁ଼]; [ઁ઼]

0B01          ; Orya; Gujr; L #      (ଁ)  ORIYA SIGN CANDRABINDU
0B3C          ; Orya; Gujr; L #      (଼)  ORIYA SIGN NUKTA

# Total code points: 2

# Oriya; Gurmukhi: [ଃ଼୨]; [਼੧੪]

0B03          ; Orya; Guru; L #      (ଃ)  ORIYA SIGN VISARGA
0B3C          ; Orya; Guru; L #      (଼)  ORIYA SIGN NUKTA
0B68          ; Orya; Guru; L #      (୨)  ORIYA DIGIT TWO

# Total code points: 3

# Oriya; Han: [ଠ୦]; [〇]

0B20          ; Orya; Hani; L #      (ଠ)  ORIYA LETTER TTHA
0B66          ; Orya; Hani; L #      (୦)  ORIYA DIGIT ZERO

# Total code points: 2

# Oriya; Hebrew: [଼]; [ִ]

0B3C          ; Orya; Hebr; L #      (଼)  ORIYA SIGN NUKTA

# Total code points: 1

# Oriya; Malayalam: [ଠ୦]; [ഠ]

0B20          ; Orya; Mlym; L #      (ଠ)  ORIYA LETTER TTHA
0B66          ; Orya; Mlym; L #      (୦)  ORIYA DIGIT ZERO

# Total code points: 2

# Sinhala; Arabic: [ං]; [ه٥ھہە۵ۿ]

0D82          ; Sinh; Arab; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Armenian: [ං]; [օ]

0D82          ; Sinh; Armn; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Bengali: [ඃ]; [ঃ]

0D83          ; Sinh; Beng; L #      (ඃ)  SINHALA SIGN VISARGAYA

# Total code points: 1

# Sinhala; Cyrillic: [ං]; [оө]

0D82          ; Sinh; Cyrl; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Devanagari: [ං]; [०]

0D82          ; Sinh; Deva; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Georgian: [ං]; [ჿ]

0D82          ; Sinh; Geor; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Greek: [ං]; [οσ]

0D82          ; Sinh; Grek; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Gujarati: [ං]; [૦]

0D82          ; Sinh; Gujr; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Gurmukhi: [ංඃ]; [ਃ੦]

0D82..0D83    ; Sinh; Guru; L #  [2] (ං..ඃ)  SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA

# Total code points: 2

# Sinhala; Hebrew: [ං]; [ס]

0D82          ; Sinh; Hebr; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Kannada: [ංඃ]; [ಂಃ೦]

0D82..0D83    ; Sinh; Knda; L #  [2] (ං..ඃ)  SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA

# Total code points: 2

# Sinhala; Lao: [ං]; [໐]

0D82          ; Sinh; Laoo; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Latin: [ං]; [oøơ]

0D82          ; Sinh; Latn; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Malayalam: [ංඃඌ]; [ംഃന്൦]

0D82..0D83    ; Sinh; Mlym; L #  [2] (ං..ඃ)  SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA
0D8C          ; Sinh; Mlym; L #      (ඌ)  SINHALA LETTER UUYANNA

# Total code points: 3

# Sinhala; Myanmar: [ංඃ]; [ဝး၀]

0D82..0D83    ; Sinh; Mymr; L #  [2] (ං..ඃ)  SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA

# Total code points: 2

# Sinhala; Tamil: [ං]; [௦]

0D82          ; Sinh; Taml; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Sinhala; Telugu: [ංඃ]; [ంః౦]

0D82..0D83    ; Sinh; Telu; L #  [2] (ං..ඃ)  SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA

# Total code points: 2

# Sinhala; Thai: [ං]; [๐]

0D82          ; Sinh; Thai; L #      (ං)  SINHALA SIGN ANUSVARAYA

# Total code points: 1

# Tamil; Arabic: [௦]; [ه٥ھہە۵ۿ]

0BE6          ; Taml; Arab; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Armenian: [௦]; [օ]

0BE6          ; Taml; Armn; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Cyrillic: [௦]; [оө]

0BE6          ; Taml; Cyrl; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Devanagari: [்௦]; [ं०]

0BCD          ; Taml; Deva; L #      (்)  TAMIL SIGN VIRAMA
0BE6          ; Taml; Deva; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 2

# Tamil; Georgian: [௦]; [ჿ]

0BE6          ; Taml; Geor; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Greek: [௦]; [οσ]

0BE6          ; Taml; Grek; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Gujarati: [்௦]; [ં૦]

0BCD          ; Taml; Gujr; L #      (்)  TAMIL SIGN VIRAMA
0BE6          ; Taml; Gujr; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 2

# Tamil; Gurmukhi: [்௦]; [ਂ੦]

0BCD          ; Taml; Guru; L #      (்)  TAMIL SIGN VIRAMA
0BE6          ; Taml; Guru; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 2

# Tamil; Hebrew: [௦]; [ס]

0BE6          ; Taml; Hebr; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Kannada: [௦]; [ಂ೦]

0BE6          ; Taml; Knda; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Khmer: [ஂ]; [ំ]

0B82          ; Taml; Khmr; L #      (ஂ)  TAMIL SIGN ANUSVARA

# Total code points: 1

# Tamil; Lao: [ஂ௦]; [ໍ໐]

0B82          ; Taml; Laoo; L #      (ஂ)  TAMIL SIGN ANUSVARA
0BE6          ; Taml; Laoo; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 2

# Tamil; Latin: [௦]; [oøơ]

0BE6          ; Taml; Latn; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Malayalam: [உஐஜடணழஶி௦௨]; [ംഉജണഴശഺിീ൦]

0B89          ; Taml; Mlym; L #      (உ)  TAMIL LETTER U
0B90          ; Taml; Mlym; L #      (ஐ)  TAMIL LETTER AI
0B9C          ; Taml; Mlym; L #      (ஜ)  TAMIL LETTER JA
0B9F          ; Taml; Mlym; L #      (ட)  TAMIL LETTER TTA
0BA3          ; Taml; Mlym; L #      (ண)  TAMIL LETTER NNA
0BB4          ; Taml; Mlym; L #      (ழ)  TAMIL LETTER LLLA
0BB6          ; Taml; Mlym; L #      (ஶ)  TAMIL LETTER SHA
0BBF          ; Taml; Mlym; L #      (ி)  TAMIL VOWEL SIGN I
0BE6          ; Taml; Mlym; L #      (௦)  TAMIL DIGIT ZERO
0BE8          ; Taml; Mlym; L #      (௨)  TAMIL DIGIT TWO

# Total code points: 10

# Tamil; Myanmar: [ஂ௦]; [ဝံ၀]

0B82          ; Taml; Mymr; L #      (ஂ)  TAMIL SIGN ANUSVARA
0BE6          ; Taml; Mymr; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 2

# Tamil; Sinhala: [௦]; [ං]

0BE6          ; Taml; Sinh; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Telugu: [௦]; [ం౦]

0BE6          ; Taml; Telu; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 1

# Tamil; Thai: [ஂ௦]; [ํ๐]

0B82          ; Taml; Thai; L #      (ஂ)  TAMIL SIGN ANUSVARA
0BE6          ; Taml; Thai; L #      (௦)  TAMIL DIGIT ZERO

# Total code points: 2

# Telugu; Arabic: [ం౦]; [ه٥ھہە۵ۿ]

0C02          ; Telu; Arab; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Arab; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Armenian: [ం౦]; [օ]

0C02          ; Telu; Armn; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Armn; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Bengali: [ః]; [ঃ]

0C03          ; Telu; Beng; L #      (ః)  TELUGU SIGN VISARGA

# Total code points: 1

# Telugu; Cyrillic: [ం౦]; [оө]

0C02          ; Telu; Cyrl; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Cyrl; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Devanagari: [ం౦]; [०]

0C02          ; Telu; Deva; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Deva; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Georgian: [ం౦]; [ჿ]

0C02          ; Telu; Geor; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Geor; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Greek: [ం౦]; [οσ]

0C02          ; Telu; Grek; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Grek; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Gujarati: [ం౦]; [૦]

0C02          ; Telu; Gujr; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Gujr; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Gurmukhi: [ంః౦]; [ਃ੦]

0C02..0C03    ; Telu; Guru; L #  [2] (ం..ః)  TELUGU SIGN ANUSVARA..TELUGU SIGN VISARGA
0C66          ; Telu; Guru; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 3

# Telugu; Hebrew: [ం౦]; [ס]

0C02          ; Telu; Hebr; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Hebr; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Kannada: [ంఃఅ-ఇఒ-ఔజఞణయఱలౌౕ౦-౨౯]; [ಂಃಅ-ಇಒ-ಔಜಞಣಯಱಲೌ೦-೨೯]

0C02..0C03    ; Telu; Knda; L #  [2] (ం..ః)  TELUGU SIGN ANUSVARA..TELUGU SIGN VISARGA
0C05..0C07    ; Telu; Knda; L #  [3] (అ..ఇ)  TELUGU LETTER A..TELUGU LETTER I
0C12..0C14    ; Telu; Knda; L #  [3] (ఒ..ఔ)  TELUGU LETTER O..TELUGU LETTER AU
0C1C          ; Telu; Knda; L #      (జ)  TELUGU LETTER JA
0C1E          ; Telu; Knda; L #      (ఞ)  TELUGU LETTER NYA
0C23          ; Telu; Knda; L #      (ణ)  TELUGU LETTER NNA
0C2F          ; Telu; Knda; L #      (య)  TELUGU LETTER YA
0C31..0C32    ; Telu; Knda; L #  [2] (ఱ..ల)  TELUGU LETTER RRA..TELUGU LETTER LA
0C4C          ; Telu; Knda; L #      (ౌ)  TELUGU VOWEL SIGN AU
0C55          ; Telu; Knda; L #      (ౕ)  TELUGU LENGTH MARK
0C66..0C68    ; Telu; Knda; L #  [3] (౦..౨)  TELUGU DIGIT ZERO..TELUGU DIGIT TWO
0C6F          ; Telu; Knda; L #      (౯)  TELUGU DIGIT NINE

# Total code points: 20

# Telugu; Lao: [ం౦]; [໐]

0C02          ; Telu; Laoo; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Laoo; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Latin: [ం౦]; [oøơ]

0C02          ; Telu; Latn; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Latn; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Malayalam: [ంః౦]; [ംഃ൦]

0C02..0C03    ; Telu; Mlym; L #  [2] (ం..ః)  TELUGU SIGN ANUSVARA..TELUGU SIGN VISARGA
0C66          ; Telu; Mlym; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 3

# Telugu; Myanmar: [ంః౦]; [ဝး၀]

0C02..0C03    ; Telu; Mymr; L #  [2] (ం..ః)  TELUGU SIGN ANUSVARA..TELUGU SIGN VISARGA
0C66          ; Telu; Mymr; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 3

# Telugu; Sinhala: [ంః౦]; [ංඃ]

0C02..0C03    ; Telu; Sinh; L #  [2] (ం..ః)  TELUGU SIGN ANUSVARA..TELUGU SIGN VISARGA
0C66          ; Telu; Sinh; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 3

# Telugu; Tamil: [ం౦]; [௦]

0C02          ; Telu; Taml; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Taml; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Thai: [ం౦]; [๐]

0C02          ; Telu; Thai; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Thai; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Thai; Arabic: [๐]; [ه٥ھہە۵ۿ]

0E50          ; Thai; Arab; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Armenian: [๐]; [օ]

0E50          ; Thai; Armn; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Cyrillic: [๐]; [оө]

0E50          ; Thai; Cyrl; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Devanagari: [๐]; [०]

0E50          ; Thai; Deva; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Georgian: [๐]; [ჿ]

0E50          ; Thai; Geor; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Greek: [๐]; [οσ]

0E50          ; Thai; Grek; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Gujarati: [๐]; [૦]

0E50          ; Thai; Gujr; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Gurmukhi: [๐]; [੦]

0E50          ; Thai; Guru; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Hebrew: [๐]; [ס]

0E50          ; Thai; Hebr; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Kannada: [๐]; [ಂ೦]

0E50          ; Thai; Knda; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Khmer: [ิ-ืํ]; [ិ-ឺំ]

0E34..0E37    ; Thai; Khmr; L #  [4] (ิ..ื)  THAI CHARACTER SARA I..THAI CHARACTER SARA UEE
0E4D          ; Thai; Khmr; L #      (ํ)  THAI CHARACTER NIKHAHIT

# Total code points: 5

# Thai; Lao: [จบปฝ-ฟยุู่-๋ํ๐]; [ຈຍບປຝ-ຟຸູ່-໋ໍ໐]

0E08          ; Thai; Laoo; L #      (จ)  THAI CHARACTER CHO CHAN
0E1A..0E1B    ; Thai; Laoo; L #  [2] (บ..ป)  THAI CHARACTER BO BAIMAI..THAI CHARACTER PO PLA
0E1D..0E1F    ; Thai; Laoo; L #  [3] (ฝ..ฟ)  THAI CHARACTER FO FA..THAI CHARACTER FO FAN
0E22          ; Thai; Laoo; L #      (ย)  THAI CHARACTER YO YAK
0E38..0E39    ; Thai; Laoo; L #  [2] (ุ..ู)  THAI CHARACTER SARA U..THAI CHARACTER SARA UU
0E48..0E4B    ; Thai; Laoo; L #  [4] (่..๋)  THAI CHARACTER MAI EK..THAI CHARACTER MAI CHATTAWA
0E4D          ; Thai; Laoo; L #      (ํ)  THAI CHARACTER NIKHAHIT
0E50          ; Thai; Laoo; L #      (๐)  THAI DIGIT ZERO

# Total code points: 15

# Thai; Latin: [๐]; [oøơ]

0E50          ; Thai; Latn; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Malayalam: [๐]; [ം൦]

0E50          ; Thai; Mlym; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Myanmar: [ํ๐]; [ဝံ၀]

0E4D          ; Thai; Mymr; L #      (ํ)  THAI CHARACTER NIKHAHIT
0E50          ; Thai; Mymr; L #      (๐)  THAI DIGIT ZERO

# Total code points: 2

# Thai; Sinhala: [๐]; [ං]

0E50          ; Thai; Sinh; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Tamil: [ํ๐]; [ஂ௦]

0E4D          ; Thai; Taml; L #      (ํ)  THAI CHARACTER NIKHAHIT
0E50          ; Thai; Taml; L #      (๐)  THAI DIGIT ZERO

# Total code points: 2

# Thai; Telugu: [๐]; [ం౦]

0E50          ; Thai; Telu; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1


# Any-Case

# Arabic; Armenian: [ه٥ھہە۵ۿ]; [օ]

0647          ; Arab; Armn; A #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Armn; A #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Armn; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Armn; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Armn; A #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Armn; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Armn; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Cyrillic: [إاه١٥٨ھہە۱۵۸ۿ]; [ІЛЮоӅө]

0625          ; Arab; Cyrl; A #      (إ)  ARABIC LETTER ALEF WITH HAMZA BELOW
0627          ; Arab; Cyrl; A #      (ا)  ARABIC LETTER ALEF
0647          ; Arab; Cyrl; A #      (ه)  ARABIC LETTER HEH
0661          ; Arab; Cyrl; A #      (١)  ARABIC-INDIC DIGIT ONE
0665          ; Arab; Cyrl; A #      (٥)  ARABIC-INDIC DIGIT FIVE
0668          ; Arab; Cyrl; A #      (٨)  ARABIC-INDIC DIGIT EIGHT
06BE          ; Arab; Cyrl; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Cyrl; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Cyrl; A #      (ە)  ARABIC LETTER AE
06F1          ; Arab; Cyrl; A #      (۱)  EXTENDED ARABIC-INDIC DIGIT ONE
06F5          ; Arab; Cyrl; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06F8          ; Arab; Cyrl; A #      (۸)  EXTENDED ARABIC-INDIC DIGIT EIGHT
06FF          ; Arab; Cyrl; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 13

# Arabic; Devanagari: [ه٥٩ھہە۵۹ۿ]; [०१]

0647          ; Arab; Deva; A #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Deva; A #      (٥)  ARABIC-INDIC DIGIT FIVE
0669          ; Arab; Deva; A #      (٩)  ARABIC-INDIC DIGIT NINE
06BE          ; Arab; Deva; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Deva; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Deva; A #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Deva; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06F9          ; Arab; Deva; A #      (۹)  EXTENDED ARABIC-INDIC DIGIT NINE
06FF          ; Arab; Deva; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 9

# Arabic; Georgian: [ه٥ھہە۵ۿ]; [ჿ]

0647          ; Arab; Geor; A #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Geor; A #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Geor; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Geor; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Geor; A #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Geor; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Geor; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Greek: [إاه١٥٨ھہە۱۵۸ۿ]; [ΙΛοσ]

0625          ; Arab; Grek; A #      (إ)  ARABIC LETTER ALEF WITH HAMZA BELOW
0627          ; Arab; Grek; A #      (ا)  ARABIC LETTER ALEF
0647          ; Arab; Grek; A #      (ه)  ARABIC LETTER HEH
0661          ; Arab; Grek; A #      (١)  ARABIC-INDIC DIGIT ONE
0665          ; Arab; Grek; A #      (٥)  ARABIC-INDIC DIGIT FIVE
0668          ; Arab; Grek; A #      (٨)  ARABIC-INDIC DIGIT EIGHT
06BE          ; Arab; Grek; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Grek; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Grek; A #      (ە)  ARABIC LETTER AE
06F1          ; Arab; Grek; A #      (۱)  EXTENDED ARABIC-INDIC DIGIT ONE
06F5          ; Arab; Grek; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06F8          ; Arab; Grek; A #      (۸)  EXTENDED ARABIC-INDIC DIGIT EIGHT
06FF          ; Arab; Grek; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 13

# Arabic; Gujarati: [ه٥ھہە۵ۿ]; [૦]

0647          ; Arab; Gujr; A #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Gujr; A #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Gujr; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Gujr; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Gujr; A #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Gujr; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Gujr; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Gurmukhi: [ه٥ھہە۵ۿ]; [੦]

0647          ; Arab; Guru; A #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Guru; A #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Guru; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Guru; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Guru; A #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Guru; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Guru; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Hebrew: [إاه١٥ھہە۱۵ۿ]; [ויןסױ]

0625          ; Arab; Hebr; A #      (إ)  ARABIC LETTER ALEF WITH HAMZA BELOW
0627          ; Arab; Hebr; A #      (ا)  ARABIC LETTER ALEF
0647          ; Arab; Hebr; A #      (ه)  ARABIC LETTER HEH
0661          ; Arab; Hebr; A #      (١)  ARABIC-INDIC DIGIT ONE
0665          ; Arab; Hebr; A #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Hebr; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Hebr; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Hebr; A #      (ە)  ARABIC LETTER AE
